,sentence_id,cosine_similarity,pearson_correlation,js_divergence
0,0,0.44657270847258773,0.44823715906390676,0.2288972926226948
1,1,0.7036680025579979,0.7298231583694615,0.10287442029236714
2,2,0.7055996555957169,0.6969485805320489,0.26032148454480614
3,3,0.6541745455306233,0.6143574395978428,0.23962486648290351
4,4,0.47270206414250426,0.3609823103287143,0.3093367499871559
5,5,0.6109190303655107,0.6093607106283154,0.1544286251193308
6,6,-0.5163669050674655,-0.5114811942812667,0.5085039548845584
7,7,0.198096969751867,0.1533580547903449,0.39799608318916496
8,8,0.6509180398850798,0.4005812986768867,0.4749554539307983
9,9,0.8352627802846823,0.8342338414415622,0.08939168617744163
10,10,0.2655700758525405,0.2609791182911023,0.23570303787883087
11,11,0.8682828776442042,0.9445370959917879,0.1798896893153696
12,12,0.2801217300022982,-6.521337870432631e-05,0.4168592401587166
13,13,0.7198306794157956,0.6964709887830346,0.22844696108969903
14,14,0.7203184146794722,0.7883462801896001,0.12162938127865815
15,15,0.0735029105873726,0.0731662793200193,0.2559706748926413
16,16,0.3479982824285495,0.07943938045633378,0.30390016329635716
17,17,0.735587434550968,0.7444124200458164,0.11848006967162732
18,18,0.3125891992925364,0.27342799858547806,0.28116320775361586
19,19,0.430298843907753,0.4397242963805877,0.13861228682251572
20,20,0.7590256332788674,0.7915211758272158,0.08997977950776656
21,21,0.614499600519927,0.617246552558013,0.29372765610046925
22,22,0.8649966717858514,0.8814277174889813,0.11775444120754675
23,23,0.8121670302219657,0.8384811685159098,0.16674701613473147
24,24,0.7573378533021934,0.7053658552930246,0.2252857384701816
25,25,0.8699780977744652,0.8857797650712871,0.13909839864324933
26,26,-0.12874151726345492,-0.3220737996151948,0.4665823745994858
27,27,0.2983995244228193,0.21237356942168528,0.5092141692322284
28,28,0.6237337106771927,0.48627473562226103,0.3364859207770947
29,29,0.5019187900925527,0.42385241753017716,0.35327149801230123
30,30,0.7395405053142761,0.7050647060382403,0.25578565317440305
31,31,0.17683149970779713,0.17172416086080033,0.364615318559422
32,32,0.6410359552775148,0.5872306852266421,0.18148043727337515
33,33,0.21406852138087776,0.23951639807522082,0.333467536812742
34,34,0.6832298039010773,0.6460117250094486,0.14024142688380783
35,35,0.7579072344013085,0.74257199644046,0.14288656841081468
36,36,0.19870610388103954,0.20203985461030377,0.37750049029336563
37,37,-0.06810467240773603,-0.093738180190782,0.3812615929307506
38,38,0.8792134535442452,0.8088738028610626,0.32964643379630587
39,39,0.9309457231381671,0.9261785405184075,0.27773029471701055
40,40,0.6671082372701032,0.6510570230071271,0.3218025359318341
41,41,0.234511523980264,0.13280035353240843,0.28231290848748763
42,42,0.392827793173506,0.32896590286857097,0.20193973825764736
43,43,-0.6643957617565229,-0.5847022010791507,0.49593409860330107
44,44,0.6203581877450975,0.62082926018418,0.35479133185098755
45,45,0.7097914335642087,0.6993317597950763,0.2757222029328206
46,46,0.8930169894641387,0.8620316613777805,0.3478603229911302
47,47,0.736133879904156,0.6878760467304385,0.176137788159215
48,48,0.9058647446802996,0.908497391065822,0.254272586478255
49,49,-0.038962733959030896,0.05678971857582692,0.3977165441504748
50,50,0.5194134099242752,0.4499256763213251,0.32489623566521514
51,51,-0.10680874585818276,-0.2348979674240149,0.4670311758847806
52,52,0.7642115828252667,0.7226690571345039,0.1323549914804994
53,53,-0.30728943970888456,-0.34255202764065684,0.3284517362551993
54,54,0.0861521353937512,0.5003023938242205,0.3953741686083168
55,55,0.7814014300015301,0.771926702985168,0.18549143368907894
56,56,0.7478137733079346,0.761453550092805,0.17549504777787178
57,57,-0.5415422343955264,-0.5014733988655623,0.561454556257581
