,token,value_shap,value_lime,cosine_similarity,pearson_correlation,js_divergence
63,His,[0.1105465390719473],[0.0214963863760788],1.0,,0.0
64,Hispanic,[0.173210677690804],[-0.0280903181432358],-1.0,,
65,Hispanics,[0.3193531886790879],[-0.0646763637688341],-1.0,,
66,Holes,[-0.0734033075968909],[-0.0278658379670457],1.0,,
67,I,"[-0.0018557179719209, -0.0464210540521889, -0.047789775300771, 0.0524648008868098, -0.0463493065908551, -0.0005675572901964, -0.0290827131830155, -0.0700022368691861, 0.0567418410209938, -0.1206038690288551, 0.0342815828043967, -0.0564539909828454, -0.0248425629688426, 0.0001043460797518, -0.0144290068128611, -0.0372274871915578, -0.0612091208895435, -0.0475729554891586, 0.0017409313004463, -0.0408451629336923, 0.0715682033915072, -0.033565146906767]","[-0.0169212102015232, 0.0063900283864186, -0.0232844877766738, 0.0191345689754756, 0.0032340007704181, -0.0047921933304734, -0.0554713887990844, -0.0158632848809241, -0.0182734000225893, -0.0182734000225893, 0.0167699337021143, 0.0167699337021143, -0.0244112453286579, -0.0044672347486675, 0.0001914740919175, -0.0009910863982795, 0.0048334522623742, -0.001487749165068, 0.0518477523546684, 0.0799411355147109, 0.0799411355147109, -0.0585882128423951]",0.2758856973932592,0.3282336116049651,0.24916441975032297
68,Im,[-0.1738800201565027],[-0.0121754397691106],1.0,,
69,Iran,[0.0761312153190374],[0.0707628496951491],1.0,,0.0
70,Iranian,[-8.953968062996864e-06],[-0.0606218693425217],1.0,,
71,Iraqi,[-0.0692447514738887],[-0.0872239485851879],1.0,,
72,Iraqis,[0.0171526705380529],[-0.1159547709610451],-1.0,,
73,Islam,[-0.1122873658314347],[0.0239552760374695],-1.0,,
74,It,"[0.0521059580205474, 0.0318445626762695, -0.0017128429608419, -0.1169630722142756, 0.1260227356106043]","[-0.0034632798142112, 0.0087370317405885, 0.0559034228259448, 0.035305985906987, 0.0279368044740504]",-0.04593898133123377,-0.3495448742895014,0.48156262197101335
75,Italian,"[0.0356806139461696, 0.1111996336840093]","[-0.0115253243362603, 0.0311155099377099]",0.7867763969509135,1.0,0.30432546742736694
76,J,[-0.058543745370116],[0.0295990206765904],-1.0,,
77,Jafar,[0.0380828804336488],[-0.017605262305323],-1.0,,
78,Jakarta,[0.0274829193949699],[0.0527327203181203],1.0,,0.0
79,Japan,"[0.0132521035848185, 0.013366482744459]","[0.0591975944783002, 0.0426152148420639]",0.9862948024233043,-1.0,0.059325254272248384
80,Judges,[0.0197205306030809],[0.0170643961236422],1.0,,0.0
81,July,[-0.0748489395453361],[-0.0397597647669904],1.0,,
82,Keeping,[0.0360546091105788],[0.085995754903921],1.0,,0.0
83,Kingdom,[0.0124025912955403],[-0.007725468164721],-1.0,,
84,Korea,[-0.0350881043850677],[-0.0068513508487529],1.0,,
85,Korean,"[0.0216488969163037, 0.0279490552493371]","[0.0098556555402926, 0.0098556555402926]",0.992028715133218,,0.04501627758648808
86,LGBTQ,"[0.0312505490437615, 0.0341119709410122]","[-0.034516186729607, -0.0126293147206326]",-0.887740384029633,1.0,0.45154683216333624
87,Laborers,[0.0315942277666181],[0.0896412116277924],1.0,,0.0
88,Laotian,[-0.0861995739687699],[-0.0495747873563392],1.0,,
89,Lebanese,[0.0469142464135075],[0.0020327873205438],1.0,,0.0
90,Love,[0.2201230283826589],[0.0503171282938707],1.0,,0.0
91,Ma,[0.2177935829386115],[0.1038327100104968],1.0,,0.0
92,Males,[-0.1614827527664601],[-0.0613871358951658],1.0,,
93,Many,"[0.0192696919548325, 0.0238719431217759, -0.037021001568064, -0.0406443339306861]","[-0.0267311158698965, -0.0250504943880174, -0.0399488690444362, 0.0278663332919385]",-0.19982982936946342,-0.4193310917539974,0.592306012355758
94,Mechanics,[0.168969708494842],[0.0858348946171696],1.0,,0.0
95,Mexican,"[0.2473227563314139, 0.0817485093139112]","[-0.0010349759457379, 0.0290053946780289]",0.2797769073629902,-1.0,0.61779251334517
96,Mexico,[-0.0540356869751121],[0.0001065759015377],-1.0,,
97,Monday,[-0.015969510855939],[-0.0178496492323367],1.0,,
98,Most,"[0.0189927190076559, -0.0168489874340593, 0.0346811930648982, 0.1711676956620067, -0.1165607520379126]","[0.001738831145838, -0.0536418896057667, 0.0253936939523017, -0.0544831288577849, -0.0537997355462629]",-0.060377205517204484,0.07798463497419025,0.49893719739413495
99,Muslim,[-0.018343435251154],[0.0531118088924595],-1.0,,
100,My,"[0.0032592914067208, -0.0073377473745495, 0.0181461027823388, 0.070984624675475, 0.1039907977683469, -0.0183577358329785, -0.018961290930747, -0.0065447337547084, -0.0358878304250538, 0.1082565540491486]","[-0.0761656818383952, -0.0249670227301915, -0.0051906979447741, -0.0120656201163018, 0.0358604625409281, 0.0144519605058489, -0.0047827727640584, 0.0039454286556502, -0.0819341122094054, -0.0247288618120287]",0.12895291043954507,0.3731070558675797,0.29887032153462706
101,Native,[-0.0558711148332804],[-0.0323603668401984],1.0,,
102,Nigerian,[-0.0907649435102939],[0.0156724919093064],-1.0,,
103,Nigerians,[0.0720990830450318],[0.0722062288646137],1.0,,0.0
104,North,[0.0632057401235215],[-0.0038985894172798],-1.0,,
105,Northern,[0.1487028659321367],[-0.0478924937333176],-1.0,,
106,Oman,"[0.0154787870669679, -0.049492479127366]","[-0.0037565483714016, 0.0275388600532321]",-0.9859978691141797,-1.0,0.8325546111576977
107,Omani,"[-0.0101212513036443, 0.0140291834250092]","[-0.0209054195353398, 0.0505985636872929]",0.9729385687392317,1.0,0.0
108,One,[-0.0509434989653527],[0.0011122399588081],-1.0,,
109,Pakistani,"[-0.0346507658250629, 0.0446931682527065, -0.0228912644088268]","[-0.0681123497509143, 0.0198155727998296, -0.2002470344002906]",0.6041005433558806,0.7131530881362038,0.4300332534098628
110,Pansexual,[0.2877950223628431],[0.0876834544586957],1.0,,0.0
111,Paraguay,[-0.0800187628483399],[0.0510519121837294],-1.0,,
112,People,"[-0.0069902755785733, 0.0711502999765798, 0.027976211044006, -0.058923631790094, -0.0362001726171001]","[-0.0403572797661655, 0.0101090326974221, -0.0108343985356954, -0.0393275689356496, -0.0604685109951535]",0.5998398348512017,0.8927079041623598,0.2735335941431587
113,Poland,"[-0.0093800576869398, -0.0332650479394942, 0.0346337346709333]","[0.0020624385311972, 0.0569797982056983, 0.0405049542733873]",-0.14959962283695694,-0.12677368393536323,0.5322400802360054
114,Polish,[0.014315479202196],[0.0234195269389846],1.0,,0.0
115,Portugal,[0.0608359044417738],[-0.0049105513980261],-1.0,,
116,Puerto,[0.0227397264097817],[-0.018113389252557],-1.0,,
117,Qatari,"[-0.0120035166619345, 0.0025677124503999, 0.0537049755221232]","[-0.0595801967908453, -0.0874678924799047, 0.0215661284949067]",0.27710235699955543,0.8954066895431311,0.36547227551416156
118,Queer,[0.126053110754583],[0.0288307796025067],1.0,,0.0
119,Quran,[0.1850854777731001],[0.0530952378641735],1.0,,0.0
120,Rico,[-0.0528210743214003],[-0.0310211272314332],1.0,,
121,Ride,[-0.0231653629707579],[-0.0284443834597367],1.0,,
122,Romania,[-0.1644746485399082],[6.42645443748759e-05],-1.0,,
123,Ruby,[-0.0779639081301866],[-0.0578763994301849],1.0,,
124,Russian,[0.0342746467795223],[0.0729939756619385],1.0,,0.0
125,Sausages,[0.2515481215668842],[0.0679216250633767],1.0,,0.0
126,Schoolboys,[0.0046057845465838],[0.03323587770628],1.0,,0.0
127,Scotland,[-0.0467291155364364],[-0.0030258579605911],1.0,,
128,Sharia,[0.2245336967171169],[-0.0308740331585861],-1.0,,
129,She,"[0.0636444094707258, -0.0229700533673167, 0.0317171748029068, -0.0036180885508656, 0.0678796945139765, 0.0411876791622489, 0.04005619417876, 0.1127377301454544, 0.0752507902798242, 0.0665846777847036, -0.0413420543773099, -0.0430140660610049, -0.0413880723062902, 0.053500794339925, 0.0316449769306927]","[-0.0332291496719579, -0.042143622479443, 0.0275576044084211, 0.07834610743808, -0.0688919399836048, -0.0688919399836048, -0.0012309347415369, 0.0807199727221796, 0.0231629628936979, 0.016612850026561, 0.0087880182358283, 0.0601537771225475, 0.1242958880580236, 0.075179309577679, 0.075179309577679]",0.041949858771222585,-0.20224045964089213,0.4317259569412106
130,Singaporean,[0.0431269666878506],[-0.0491554084453895],-1.0,,
131,Sociologist,[0.0522601951961405],[-0.0133662635971767],-1.0,,
132,Software,[0.0492677661677589],[0.0112899975846713],1.0,,0.0
133,Some,"[-0.3023316379985772, -0.0299910429166629]","[-0.0302597340311339, 0.0152388627461049]",0.8443739736832312,1.0,0.0
134,South,"[0.0157689456827938, 0.0299892895272932]","[0.0210243905970794, -0.0039532186315173]",0.2938278468944759,-1.0,0.557232674977706
135,Spain,"[-0.0841589112533256, -0.0833195372251793]","[-0.0141996468311718, 0.0198174750637476]",-0.15799320730599026,1.0,0.0
136,Spanish,"[0.1528262727661058, 0.2102757608518004]","[-0.0629584339024368, 0.0316193918470499]",-0.16233160285765622,1.0,0.4174412540334628
137,Spongebob,[-0.3797067555351532],[-0.2108839413865208],1.0,,
138,States,"[0.007913801644463, 0.0017737705493345, 0.025569470366463]","[0.0169757777420336, 0.0189654730369819, -0.0366460164066688]",-0.6425337210635831,-0.9759833472163661,0.6213391265675845
139,Swedish,[0.1370052986312657],[0.0551992665912402],1.0,,0.0
140,That,[0.0715448511764407],[0.0099748594763053],1.0,,0.0
