,sentence_id,cosine_similarity,pearson_correlation,js_divergence
0,0,-0.8009229013224853,-0.6379003308604778,0.4574663562607445
1,1,0.4352537696635087,0.42157012297292357,0.3301626677653963
2,2,0.8763784934467157,0.8292103119475841,0.21245740571002103
3,3,-0.8309292970324011,-0.8216153869845813,0.6148108330411238
4,4,0.6317842619512251,0.6305983666967954,0.17966501232158077
5,5,0.6485316610944959,0.8390825016674875,0.0883980980664888
6,6,0.501691522273502,0.4560963131704488,0.29611372873815767
7,7,0.6653397322632675,0.7211378806625771,0.15619036070730344
8,8,0.33745610346061417,0.36073478507272494,0.2521266106418138
9,9,0.3101973900824007,0.3092366938109292,0.2719854209515792
10,10,0.6576924687844617,0.6612152650038254,0.12410882747280945
11,11,0.5731474555096542,0.5744662657551626,0.2208451360197294
12,12,-0.09602077036496373,-0.09250946218868157,0.3647271966151008
13,13,0.6394775301031665,0.6385663939325552,0.2232521366635074
14,14,0.5857319167805021,0.5733517415668419,0.14302510232773258
15,15,0.7732376125695325,0.7889758244467964,0.2591333637223728
16,16,-0.19153974861614245,-0.0928697663594006,0.2804967392942184
17,17,0.8584715236333318,0.8583401821963671,0.08539873468976437
18,18,0.5818833385570853,0.5484278124667891,0.3195804845268871
19,19,0.41042599508331234,0.417556535858551,0.22295805508838631
20,20,0.8835817862593477,0.8685780392974308,0.28536101477029724
21,21,0.8191313467128644,0.8221904404636385,0.08948835247683601
22,22,0.6527702986962342,0.6543735642627225,0.19475155155982504
23,23,-0.42895311889327165,-0.48159303859150937,0.4094234596834619
24,24,0.7050535226144645,0.7612202917116113,0.17125471639608236
25,25,0.5645706723386531,0.5629699996943711,0.2325796173358867
26,26,0.3822976370425867,0.36785418821225474,0.2967522796286269
27,27,0.20747635517746765,0.2083736602423099,0.36927852058021554
28,28,0.6541742488281946,0.6602785019088142,0.1862636335203106
29,29,-0.2853394493127153,-0.3309494806383744,0.2837592984471289
30,30,0.07078470044919269,0.06940597147762376,0.36495025249625923
31,31,0.43523272954411013,0.49243707905673495,0.29173172539206155
32,32,0.7550034303411095,0.7545179400715161,0.09585329208874849
33,33,-0.3493789928241021,-0.5720638758769689,0.3826086640594289
34,34,-0.1548529503963565,-0.27287000027774333,0.4338624615573064
35,35,0.014444489724119587,0.012133911411933119,0.2600298018648107
36,36,0.5502159210343293,0.7002758292584743,0.14856552668555414
37,37,-0.6893542659168695,-0.6594703665661863,0.32853727921892995
38,38,-0.730852877232818,-0.591396258353967,0.372029949138715
39,39,-0.5929151455025709,-0.44902776335248523,0.41439162391741513
40,40,-0.03229216132284051,-0.05341007463297226,0.33343961290613283
41,41,-0.27064957685815094,-0.345767001795217,0.43788175117260714
42,42,-0.5325121854043683,-0.485433036472788,0.32104272295170716
43,43,-0.6550229665565493,-0.6111545752764188,0.3095287637956125
44,44,-0.7337049150928434,-0.5773659988946934,0.43435836957576446
45,45,0.8747492827439936,0.8633576186850739,0.1746952574975702
46,46,0.09556402452176399,0.1026469290997041,0.27355896691940573
47,47,0.5817046091418118,0.5580554056301716,0.4335909965506509
48,48,0.34114812910141884,0.4678705203397868,0.3447364972964423
49,49,0.42490302185844464,0.4862616882556081,0.2528845646059694
50,50,-0.44297289593582284,-0.3564291140009504,0.23201170309515062
51,51,-0.9045656305964513,-0.8218386884637505,0.42772455358795286
52,52,-0.7942058026531047,-0.7452696236976708,0.49016413832814487
53,53,0.04203548237783463,-0.027016530632347824,0.3733459811261443
54,54,-0.22597678343973154,-0.35324609819521846,0.3097912163435793
55,55,-0.8647132219180196,-0.5021368997580203,0.4374838543543123
56,56,0.40359413121060417,0.3536082624525394,0.26732348326151767
57,57,-0.7838829988095347,-0.6826973301835056,0.468596146917809
58,58,-0.8892646681442572,-0.8301229495633593,0.48450752740737085
59,59,-0.48669788083230775,-0.26956681221827217,0.32457028698845913
60,60,0.5369315516642814,0.17113617588545685,0.42794071998731265
61,61,-0.4897116758855572,-0.4836681025785465,0.2914732146251159
62,62,-0.8837730460239404,-0.6549667503852507,0.4891046662236441
63,63,-0.7532603030433546,-0.6939485832155105,0.6877632530042309
64,64,-0.5006657055556403,-0.21376729009805254,0.29954455840818117
65,65,-0.703314710545041,-0.46849606962199075,0.5828232913550598
66,66,-0.1809449277793303,0.39376205825016286,0.4205530530565599
67,67,-0.5156787894023485,-0.44575835454595547,0.27614458128997676
68,68,0.8263541176423875,0.8352251485125923,0.16313380255165436
69,69,-0.3625967845129187,0.12299771159266407,0.38000726778520466
70,70,-0.2684954197005211,0.25935334551878214,0.31578717841623316
71,71,-0.7083989395259541,-0.6557741278464712,0.38362927066348246
72,72,-0.7089206991434273,-0.5961041799317569,0.5566420277576285
73,73,-0.5764447491394997,-0.32162686831127363,0.5061787219078929
